"PermisoId","NumeroPermiso","RazonSocial","Calle","CodigoPostal","Colonia","Latitud","Longitud","Regular","Premium","Diesel","FechaAplicacion"
"2107","PL/685/EXP/ES/2015","SERVICIO CIBOLA  S.A. DE C.V.","H. Colegio Militar No.490  Col. 11 De Octubre  Acuña ","26200","","29.30929","-100.9351","","","17.54","1/28/2017 2:44:00 PM"
"2109","PL/655/EXP/ES/2015","MULTISERVICIOS SIGAS  S. A. DE C. V.","Emiliano Zapata No. 505  Col. Centro  San José de Gracia","20500","","22.14957","-102.4106","16.16","17.93","17.23",""
"2112","PL/879/EXP/ES/2015","Servicio Vega Atizapán  S.A. de C.V.","Boulevard Adolfo Ruíz Cortines No. 7-A  Colonia Paraíso Avícola  Atizapán de Zaragoza","52965","","19.55827","-99.25086","16.27","18.14","17.01",""
"2123","PL/774/EXP/ES/2015","SERVICIO DEL CENTRO HIDALGO  S.A. DE C.V. ","Calz. Miguel Hidalgo No. 110  Col. Centro  Silao","36100","","20.94723","-101.4349","16.14","17.92","17.22","1/13/2017 1:40:00 PM"
"2125","PL/779/EXP/ES/2015","AMC COMBUSTIBLES Y LUBRICANTES  S.A. DE C.V.","Matamoros No. 833  Col. El Pueblo  Monclova","25730","","26.91485","-101.4206","16.03","17.8","17.1",""
"2126","PL/796/EXP/ES/2015","SERVICIO RAMA  S.A. DE C.V.","Carretera a Cd.Acuña Km. 2  Colonia San José  Piedras Negras","26069","","28.70405","-100.5448","13.26","","","1/9/2017 9:04:00 PM"
"2126","PL/796/EXP/ES/2015","SERVICIO RAMA  S.A. DE C.V.","Carretera a Cd.Acuña Km. 2  Colonia San José  Piedras Negras","26069","","28.70405","-100.5448","","16.03","","1/9/2017 9:06:00 PM"
"2126","PL/796/EXP/ES/2015","SERVICIO RAMA  S.A. DE C.V.","Carretera a Cd.Acuña Km. 2  Colonia San José  Piedras Negras","26069","","28.70405","-100.5448","","","17.21","1/9/2017 9:10:00 PM"
"2128","PL/792/EXP/ES/2015","Servicio Ravello  S.A. de C.V.","C. Punta El Diablo No. 19452 Col Ampliación Guaycura","22214","","32.49855","-116.9161","16.04","17.81","17.16",""
"2133","PL/766/EXP/ES/2015","MARA ESTACIÓN DE SERVICIOS  S.A. DE C.V.","Avenida Aguascalientes Ote. No. 2074  Fracc. Lomas de Santa Anita  Aguascalientes","20164","","21.89202","-102.2631","16.16","17.93","",""
"2134","PL/617/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Boulevard Tepic Xalisco No. 142  Col. Peñitas  Tepic","63167","","21.49442","-104.8968","16.33","18.1","","1/7/2017 1:35:00 PM"
"2135","PL/713/EXP/ES/2015","SERVICIO OROZCO S.A. DE C.V.","Carretera Nacional Victoria –Monterrey  Km 9.5 904 Col. Ejido  Laborcitas  Victoria ","87261","","23.82137","-99.12276","15.64","17.41","16.71",""
"2136","PL/770/EXP/ES/2015","SERVICIO PUERTA DE HIERRO S.A. DE C.V.","Av. Ignacio Sandoval No. 1555  Colonia Girasoles  Colima","28018","","19.25796","-103.7087","16.14","17.9","",""
"2137","PL/835/EXP/ES/2015","Gasolinería Real Madeira  S.A. de C.V.","Av. Central  Lt. 1 Mz-A s/n Las Américas  Ecatepec","55070","","19.57863","-99.02091","16.32","18.2","17.07",""
"2140","PL/630/EXP/ES/2015","Inmobiliaria Socor  S.A. de C.V. ","Carretera Nacional Visitación N° 45 Colonia Visitación. Municipio Melchor Ocampo","54890","","19.71715","-99.13939","16.27","18.14","17.01",""
"2141","PL/394/EXP/ES/2015","Grupo Empresarial Cachanilla  S.A. de C.V.","Calz. Manuel Gómez Morin y Calle de los Portales  Fracc. Hacienda de los Portales  Mexicali","21327","","32.59509","-115.5029","16.17","17.95","",""
"2142","PL/632/EXP/ES/2015","Gasolinería Itálica  S.A. de C.V.","Avenida Valle Escondido No. 21. Colonia Loma Linda  1 Sección  Atizapán de Zaragoza","52949","","19.53231","-99.2491","16.27","18.14","17.01",""
